Date,Data
01-01-1991,6.838
01-01-1992,6.838
01-01-1993,6.838
01-01-1994,6.83
01-01-1995,6.998
01-01-1996,7.165
01-01-1997,7.339
01-01-1998,7.511
01-01-1999,7.68
01-01-2000,7.85
01-01-2001,8.022
01-01-2002,8.202
01-01-2003,8.368
01-01-2004,8.535
01-01-2005,8.7
01-01-2006,8.618
01-01-2007,8.537
01-01-2008,8.463
01-01-2009,8.383
01-01-2010,8.3
01-01-2011,8.215
01-01-2012,8.138
01-01-2013,8.06
01-01-2014,7.976
01-01-2015,7.891
01-01-2016,7.808
01-01-2017,7.728
01-01-2018,7.65
01-01-2019,6.51
01-01-2020,7.86
01-01-2021,6.38
01-01-2022,4.822
01-01-2023,4.668
