Date,Data
01-01-1961,1.359574512
01-01-1962,0.578972021
01-01-1963,3.574901046
01-01-1964,5.008485432
01-01-1965,-4.788008238
01-01-1966,-2.183001818
01-01-1967,5.55485816
01-01-1968,1.169729838
01-01-1969,4.218131001
01-01-1970,2.85855823
01-01-1971,-0.585705894
01-01-1972,-2.743920031
01-01-1973,0.996135555
01-01-1974,-1.074028888
01-01-1975,6.733780786
01-01-1976,-0.558062114
01-01-1977,4.912095731
01-01-1978,3.398876544
01-01-1979,-7.321991041
01-01-1980,4.349374093
01-01-1981,3.62086273
01-01-1982,1.162592174
01-01-1983,4.892732989
01-01-1984,1.497907949
01-01-1985,2.914206593
01-01-1986,2.460505288
01-01-1987,1.691962091
01-01-1988,7.259166023
01-01-1989,3.673862559
01-01-1990,3.297854066
01-01-1991,-1.045105467
01-01-1992,3.316865934
01-01-1993,2.627465861
01-01-1994,4.525133814
01-01-1995,5.452945861
01-01-1996,5.471108102
01-01-1997,2.071873277
01-01-1998,4.19892116
01-01-1999,6.851333406
01-01-2000,1.965952437
01-01-2001,2.945319361
01-01-2002,1.975907984
01-01-2003,6.016520564
01-01-2004,6.132606167
01-01-2005,6.206011032
01-01-2006,6.426044714
01-01-2007,6.09362578
01-01-2008,1.630780589
01-01-2009,6.371709388
01-01-2010,7.013174581
01-01-2011,3.81807313
01-01-2012,4.060823569
01-01-2013,5.014611865
01-01-2014,6.086180223
01-01-2015,6.721067635
01-01-2016,6.980989699
01-01-2017,5.568333518
01-01-2018,5.302408674
01-01-2019,2.811873101
01-01-2020,-6.72629208
01-01-2021,8.184367717
01-01-2022,6.512540292
