Date,Data
01-01-1974,22.51151757
01-01-1975,19.54510626
01-01-1976,19.41927196
01-01-1977,21.09561255
01-01-1978,22.65072075
01-01-1979,23.59537674
01-01-1980,19.55500345
01-01-1981,25.56013763
01-01-1982,25.13419431
01-01-1983,21.03957212
01-01-1984,23.2914173
01-01-1985,26.4460769
01-01-1986,26.06568394
01-01-1987,25.82713131
01-01-1988,26.28263499
01-01-1989,26.86103691
01-01-1990,27.3361977
01-01-1991,25.14050528
01-01-1992,27.44020416
01-01-1993,22.71641051
01-01-1994,26.31016656
01-01-1995,29.15233715
01-01-1996,22.75925318
01-01-1997,25.69273291
01-01-1998,24.97536994
01-01-1999,30.95808797
01-01-2000,25.67731668
01-01-2001,29.90788898
01-01-2002,30.25130012
01-01-2003,30.83969994
01-01-2004,35.0964917
01-01-2005,37.42826402
01-01-2006,38.99850637
01-01-2007,41.95079823
01-01-2008,38.42241965
01-01-2009,39.25679176
01-01-2010,39.78562417
01-01-2011,39.59042144
01-01-2012,38.34741567
01-01-2013,34.02320208
01-01-2014,34.26780561
01-01-2015,32.11673014
01-01-2016,30.17269167
01-01-2017,30.98217576
01-01-2018,32.34321821
01-01-2019,30.09619757
01-01-2020,28.75229851
01-01-2021,31.22549825
01-01-2022,31.04158151
