Date,Data
01-01-1975,0.753750384
01-01-1976,0.733918726
01-01-1977,0.753750384
01-01-1978,0.731795967
01-01-1979,0.709059417
01-01-1980,0.736671805
01-01-1981,0.716758072
01-01-1982,0.707207441
01-01-1983,0.718624055
01-01-1984,0.715412319
01-01-1985,0.698795438
01-01-1986,0.695707083
01-01-1987,0.69907558
01-01-1988,0.696860194
01-01-1989,0.682173491
01-01-1990,0.679962873
01-01-1991,0.675957561
01-01-1992,0.669585764
01-01-1993,0.655598164
01-01-1994,0.641673684
01-01-1995,0.62444663
01-01-1996,0.623452663
01-01-1997,0.622693479
01-01-1998,0.610854387
01-01-1999,0.602292538
01-01-2000,0.595479965
01-01-2001,0.583254933
01-01-2002,0.558310509
01-01-2003,0.550348997
01-01-2004,0.514238656
01-01-2005,0.500907362
01-01-2006,0.481887907
01-01-2007,0.480651289
01-01-2008,0.501330495
01-01-2009,0.510786116
01-01-2010,0.51054883
01-01-2011,0.511983633
01-01-2012,0.511407077
01-01-2013,0.515993237
01-01-2014,0.515723348
01-01-2015,0.507305622
01-01-2016,0.517503738
01-01-2017,0.521803737
01-01-2018,0.521803737
01-01-2019,0.521803737
