Date,Data
01-01-1960,6.573491989
01-01-1961,6.894665732
01-01-1962,7.779581989
01-01-1963,8.705040986
01-01-1964,8.042522933
01-01-1965,8.787682235
01-01-1966,8.506790168
01-01-1967,8.121171791
01-01-1968,8.398192366
01-01-1969,8.549685001
01-01-1970,8.947244134
01-01-1971,9.673793144
01-01-1972,9.334214959
01-01-1973,8.407361533
01-01-1974,8.640640884
01-01-1975,9.487656216
01-01-1976,9.779753316
01-01-1977,9.209771941
01-01-1978,9.439608621
01-01-1979,9.894732025
01-01-1980,9.651880609
01-01-1981,9.626165893
01-01-1982,10.17257278
01-01-1983,10.09112099
01-01-1984,10.35591089
01-01-1985,10.93019263
01-01-1986,11.55025711
01-01-1987,11.92901342
01-01-1988,11.60436023
01-01-1989,11.5637623
01-01-1990,11.2854919
01-01-1991,11.07872625
01-01-1992,10.91504648
01-01-1993,11.00266504
01-01-1994,10.43581347
01-01-1995,10.54026752
01-01-1996,10.33088968
01-01-1997,11.0287262
01-01-1998,11.90988981
01-01-1999,12.17548961
01-01-2000,11.94783547
01-01-2001,11.76144989
01-01-2002,11.31409507
01-01-2003,10.87620991
01-01-2004,10.40470235
01-01-2005,10.3661402
01-01-2006,9.802470468
01-01-2007,9.862115728
01-01-2008,10.53848116
01-01-2009,11.45966742
01-01-2010,11.00760787
01-01-2011,11.08446159
01-01-2012,10.68385623
01-01-2013,10.29516014
01-01-2014,10.44085681
01-01-2015,10.42829071
01-01-2016,10.30854807
01-01-2017,10.76719895
01-01-2018,10.82321853
01-01-2019,11.00267551
01-01-2020,11.61272274
01-01-2021,11.18554696
01-01-2022,10.34923288
01-01-2023,
