Date8,Data8
1991-01-01T00:00:00Z,6.8
1992-01-01T00:00:00Z,7.5
1993-01-01T00:00:00Z,6.9
1994-01-01T00:00:00Z,6.12
1995-01-01T00:00:00Z,5.65
1996-01-01T00:00:00Z,5.45
1997-01-01T00:00:00Z,5
1998-01-01T00:00:00Z,4.51
1999-01-01T00:00:00Z,4.22
2000-01-01T00:00:00Z,3.99
2001-01-01T00:00:00Z,4.73
2002-01-01T00:00:00Z,5.78
2003-01-01T00:00:00Z,5.99
2004-01-01T00:00:00Z,5.53
2005-01-01T00:00:00Z,5.08
2006-01-01T00:00:00Z,4.62
2007-01-01T00:00:00Z,4.62
2008-01-01T00:00:00Z,5.78
2009-01-01T00:00:00Z,9.25
2010-01-01T00:00:00Z,9.63
2011-01-01T00:00:00Z,8.95
2012-01-01T00:00:00Z,8.07
2013-01-01T00:00:00Z,7.37
2014-01-01T00:00:00Z,6.17
2015-01-01T00:00:00Z,5.28
2016-01-01T00:00:00Z,4.87
2017-01-01T00:00:00Z,4.36
2018-01-01T00:00:00Z,3.9
2019-01-01T00:00:00Z,3.67
2020-01-01T00:00:00Z,8.05
2021-01-01T00:00:00Z,5.35
2022-01-01T00:00:00Z,3.65
2023-01-01T00:00:00Z,3.648
