Date5,Data5
1929-01-01T00:00:00Z,10.2
1930-01-01T00:00:00Z,7.9
1931-01-01T00:00:00Z,3.9
1932-01-01T00:00:00Z,-0.3
1933-01-01T00:00:00Z,-0.3
1934-01-01T00:00:00Z,3.7
1935-01-01T00:00:00Z,5.2
1936-01-01T00:00:00Z,7.3
1937-01-01T00:00:00Z,7.3
1938-01-01T00:00:00Z,5.4
1939-01-01T00:00:00Z,6.8
1940-01-01T00:00:00Z,9.4
1941-01-01T00:00:00Z,11.9
1942-01-01T00:00:00Z,12.2
1943-01-01T00:00:00Z,12
1944-01-01T00:00:00Z,11.1
1945-01-01T00:00:00Z,9
1946-01-01T00:00:00Z,7.8
1947-01-01T00:00:00Z,9.4
1948-01-01T00:00:00Z,11
1949-01-01T00:00:00Z,10.3
1950-01-01T00:00:00Z,11.7
1951-01-01T00:00:00Z,11.5
1952-01-01T00:00:00Z,10.4
1953-01-01T00:00:00Z,10
1954-01-01T00:00:00Z,9.7
1955-01-01T00:00:00Z,11.3
1956-01-01T00:00:00Z,10.4
1957-01-01T00:00:00Z,9.7
1958-01-01T00:00:00Z,8.6
1959-01-01T00:00:00Z,10.1
1960-01-01T00:00:00Z,9.5
1961-01-01T00:00:00Z,9.3
1962-01-01T00:00:00Z,10
1963-01-01T00:00:00Z,10.4
1964-01-01T00:00:00Z,10.7
1965-01-01T00:00:00Z,11.4
1966-01-01T00:00:00Z,11.3
1967-01-01T00:00:00Z,10.4
1968-01-01T00:00:00Z,10.3
1969-01-01T00:00:00Z,9
1970-01-01T00:00:00Z,7.4
1971-01-01T00:00:00Z,8
1972-01-01T00:00:00Z,8.5
1973-01-01T00:00:00Z,8.3
1974-01-01T00:00:00Z,7
1975-01-01T00:00:00Z,7.4
1976-01-01T00:00:00Z,8.5
1977-01-01T00:00:00Z,9.1
1978-01-01T00:00:00Z,9.3
1979-01-01T00:00:00Z,8.3
1980-01-01T00:00:00Z,6.7
1981-01-01T00:00:00Z,6.8
1982-01-01T00:00:00Z,5.9
1983-01-01T00:00:00Z,6.8
1984-01-01T00:00:00Z,7.5
1985-01-01T00:00:00Z,7.4
1986-01-01T00:00:00Z,6.3
1987-01-01T00:00:00Z,6.7
1988-01-01T00:00:00Z,6.9
1989-01-01T00:00:00Z,6.3
1990-01-01T00:00:00Z,5.8
1991-01-01T00:00:00Z,6.1
1992-01-01T00:00:00Z,6.4
1993-01-01T00:00:00Z,6.8
1994-01-01T00:00:00Z,7.8
1995-01-01T00:00:00Z,8.3
1996-01-01T00:00:00Z,8.8
1997-01-01T00:00:00Z,9.1
1998-01-01T00:00:00Z,8
1999-01-01T00:00:00Z,7.7
2000-01-01T00:00:00Z,6.6
2001-01-01T00:00:00Z,5.8
2002-01-01T00:00:00Z,7
2003-01-01T00:00:00Z,8
2004-01-01T00:00:00Z,9.2
2005-01-01T00:00:00Z,10
2006-01-01T00:00:00Z,10.4
2007-01-01T00:00:00Z,8.7
2008-01-01T00:00:00Z,6.6
2009-01-01T00:00:00Z,7.5
2010-01-01T00:00:00Z,9.3
2011-01-01T00:00:00Z,9.3
2012-01-01T00:00:00Z,10.1
2013-01-01T00:00:00Z,9.9
2014-01-01T00:00:00Z,10.2
2015-01-01T00:00:00Z,9.7
2016-01-01T00:00:00Z,9.2
2017-01-01T00:00:00Z,8.8
2018-01-01T00:00:00Z,9
2019-01-01T00:00:00Z,9
2020-01-01T00:00:00Z,9.1
2021-01-01T00:00:00Z,10.5
2022-01-01T00:00:00Z,10.6
