Date1,Data1
1947-01-01,64.85
1948-01-01,63.725
1949-01-01,65.475
1950-01-01,64.1
1951-01-01,60.1
1952-01-01,59.7
1953-01-01,59.8
1954-01-01,61.35
1955-01-01,60.7
1956-01-01,60.35
1957-01-01,60.375
1958-01-01,61.425
1959-01-01,60.8
1960-01-01,61.05
1961-01-01,60.75
1962-01-01,60
1963-01-01,59.925
1964-01-01,60
1965-01-01,59.7
1966-01-01,59
1967-01-01,58.925
1968-01-01,59.2
1969-01-01,59.325
1970-01-01,60.25
1971-01-01,60.075
1972-01-01,60.025
1973-01-01,59.6
1974-01-01,60.2
1975-01-01,61.175
1976-01-01,61.25
1977-01-01,61.2
1978-01-01,60.5
1979-01-01,60.325
1980-01-01,61.25
1981-01-01,60.325
1982-01-01,61.95
1983-01-01,62.8
1984-01-01,61.725
1985-01-01,62.5
1986-01-01,63
1987-01-01,63.35
1988-01-01,63.575
1989-01-01,63.4
1990-01-01,63.875
1991-01-01,64.05
1992-01-01,64.375
1993-01-01,64.9
1994-01-01,64.75
1995-01-01,64.95
1996-01-01,64.975
1997-01-01,64.55
1998-01-01,64.85
1999-01-01,65.225
2000-01-01,66.025
2001-01-01,66.825
2002-01-01,67.225
2003-01-01,67.55
2004-01-01,67.375
2005-01-01,67.25
2006-01-01,67.125
2007-01-01,67.325
2008-01-01,68.025
2009-01-01,68.325
2010-01-01,68.15
2011-01-01,68.575
2012-01-01,67.975
2013-01-01,67.45
2014-01-01,67.425
2015-01-01,67.225
2016-01-01,67.675
2017-01-01,67.75
2018-01-01,67.45
2019-01-01,66.975
2020-01-01,66.625
2021-01-01,67.975
2022-01-01,68
2023-01-01,67.9
