Date3,Data3
1947-01-01T00:00:00Z,15.975
1948-01-01T00:00:00Z,15.925
1949-01-01T00:00:00Z,18.3
1950-01-01T00:00:00Z,16.85
1951-01-01T00:00:00Z,21.1
1952-01-01T00:00:00Z,24.35
1953-01-01T00:00:00Z,24.875
1954-01-01T00:00:00Z,23.7
1955-01-01T00:00:00Z,21.875
1956-01-01T00:00:00Z,21.85
1957-01-01T00:00:00Z,22.6
1958-01-01T00:00:00Z,23.725
1959-01-01T00:00:00Z,22.725
1960-01-01T00:00:00Z,22.225
1961-01-01T00:00:00Z,23
1962-01-01T00:00:00Z,23.225
1963-01-01T00:00:00Z,23.1
1964-01-01T00:00:00Z,22.6
1965-01-01T00:00:00Z,22.125
1966-01-01T00:00:00Z,22.775
1967-01-01T00:00:00Z,24.075
1968-01-01T00:00:00Z,23.975
1969-01-01T00:00:00Z,23.475
1970-01-01T00:00:00Z,23.525
1971-01-01T00:00:00Z,22.975
1972-01-01T00:00:00Z,22.375
1973-01-01T00:00:00Z,21.375
1974-01-01T00:00:00Z,22.1
1975-01-01T00:00:00Z,22.625
1976-01-01T00:00:00Z,21.55
1977-01-01T00:00:00Z,20.875
1978-01-01T00:00:00Z,20.25
1979-01-01T00:00:00Z,19.975
1980-01-01T00:00:00Z,20.625
1981-01-01T00:00:00Z,20.425
1982-01-01T00:00:00Z,21.275
1983-01-01T00:00:00Z,21.1
1984-01-01T00:00:00Z,20.5
1985-01-01T00:00:00Z,20.975
1986-01-01T00:00:00Z,21.325
1987-01-01T00:00:00Z,21.25
1988-01-01T00:00:00Z,20.6
1989-01-01T00:00:00Z,20.4
1990-01-01T00:00:00Z,20.75
1991-01-01T00:00:00Z,21.1
1992-01-01T00:00:00Z,20.6
1993-01-01T00:00:00Z,19.925
1994-01-01T00:00:00Z,19.25
1995-01-01T00:00:00Z,18.975
1996-01-01T00:00:00Z,18.5
1997-01-01T00:00:00Z,18.05
1998-01-01T00:00:00Z,17.775
1999-01-01T00:00:00Z,17.85
2000-01-01T00:00:00Z,17.825
2001-01-01T00:00:00Z,18.425
2002-01-01T00:00:00Z,19.125
2003-01-01T00:00:00Z,19.275
2004-01-01T00:00:00Z,19.15
2005-01-01T00:00:00Z,19
2006-01-01T00:00:00Z,19
2007-01-01T00:00:00Z,19.275
2008-01-01T00:00:00Z,20.2
2009-01-01T00:00:00Z,21.25
2010-01-01T00:00:00Z,20.975
2011-01-01T00:00:00Z,20.2
2012-01-01T00:00:00Z,19.3
2013-01-01T00:00:00Z,18.575
2014-01-01T00:00:00Z,18
2015-01-01T00:00:00Z,17.675
2016-01-01T00:00:00Z,17.575
2017-01-01T00:00:00Z,17.325
2018-01-01T00:00:00Z,17.375
2019-01-01T00:00:00Z,17.6
2020-01-01T00:00:00Z,18.775
2021-01-01T00:00:00Z,17.775
2022-01-01T00:00:00Z,17.275
2023-01-01T00:00:00Z,17.35
