Date2,Data2
1947-01-01T00:00:00Z,14.85
1948-01-01T00:00:00Z,18.35
1949-01-01T00:00:00Z,14.35
1950-01-01T00:00:00Z,18.75
1951-01-01T00:00:00Z,18.1
1952-01-01T00:00:00Z,15.6
1953-01-01T00:00:00Z,15.525
1954-01-01T00:00:00Z,14.875
1955-01-01T00:00:00Z,17.3
1956-01-01T00:00:00Z,17.3
1957-01-01T00:00:00Z,16.125
1958-01-01T00:00:00Z,14.725
1959-01-01T00:00:00Z,16.425
1960-01-01T00:00:00Z,15.95
1961-01-01T00:00:00Z,15.375
1962-01-01T00:00:00Z,16.05
1963-01-01T00:00:00Z,16.175
1964-01-01T00:00:00Z,16.4
1965-01-01T00:00:00Z,17.45
1966-01-01T00:00:00Z,17.725
1967-01-01T00:00:00Z,16.6
1968-01-01T00:00:00Z,16.675
1969-01-01T00:00:00Z,17.05
1970-01-01T00:00:00Z,15.85
1971-01-01T00:00:00Z,16.925
1972-01-01T00:00:00Z,17.825
1973-01-01T00:00:00Z,18.725
1974-01-01T00:00:00Z,17.775
1975-01-01T00:00:00Z,15.25
1976-01-01T00:00:00Z,17.25
1977-01-01T00:00:00Z,19.025
1978-01-01T00:00:00Z,20.325
1979-01-01T00:00:00Z,20.55
1980-01-01T00:00:00Z,18.575
1981-01-01T00:00:00Z,19.675
1982-01-01T00:00:00Z,17.375
1983-01-01T00:00:00Z,17.525
1984-01-01T00:00:00Z,20.275
1985-01-01T00:00:00Z,19.1
1986-01-01T00:00:00Z,18.55
1987-01-01T00:00:00Z,18.35
1988-01-01T00:00:00Z,17.875
1989-01-01T00:00:00Z,17.7
1990-01-01T00:00:00Z,16.65
1991-01-01T00:00:00Z,15.325
1992-01-01T00:00:00Z,15.525
1993-01-01T00:00:00Z,16.125
1994-01-01T00:00:00Z,17.25
1995-01-01T00:00:00Z,17.25
1996-01-01T00:00:00Z,17.725
1997-01-01T00:00:00Z,18.625
1998-01-01T00:00:00Z,19.15
1999-01-01T00:00:00Z,19.575
2000-01-01T00:00:00Z,19.9
2001-01-01T00:00:00Z,18.3
2002-01-01T00:00:00Z,17.675
2003-01-01T00:00:00Z,17.675
2004-01-01T00:00:00Z,18.675
2005-01-01T00:00:00Z,19.475
2006-01-01T00:00:00Z,19.55
2007-01-01T00:00:00Z,18.45
2008-01-01T00:00:00Z,16.775
2009-01-01T00:00:00Z,13.325
2010-01-01T00:00:00Z,14.375
2011-01-01T00:00:00Z,14.95
2012-01-01T00:00:00Z,16.15
2013-01-01T00:00:00Z,16.825
2014-01-01T00:00:00Z,17.45
2015-01-01T00:00:00Z,18
2016-01-01T00:00:00Z,17.425
2017-01-01T00:00:00Z,17.675
2018-01-01T00:00:00Z,18.025
2019-01-01T00:00:00Z,18.075
2020-01-01T00:00:00Z,17.525
2021-01-01T00:00:00Z,17.825
2022-01-01T00:00:00Z,18.5
2023-01-01T00:00:00Z,17.7
